X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
2.62381382,46.36847906,,POIN_REP0000002496269042,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D94,FS,,999,U,Calculé,FS,,"03-D94-U-13","03",ROUTNOMM0000000106098947,Allier
2.86816132,46.32187089,,POIN_REP0000002496269043,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D158,FS,,999,U,Calculé,FS,,"03-D158-U-2","03",ROUTNOMM0000000106099031,Allier
3.31159072,46.10830886,,POIN_REP0000002496269044,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D222,FS,,999,U,Calculé,FS,,"03-D222-U-2","03",ROUTNOMM0000000106099186,Allier
3.61280423,46.73150872,,POIN_REP0000002496269045,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D30,FS,,999,U,Calculé,FS,,"03-D30-U-2","03",ROUTNOMM0000000106098815,Allier
3.24811925,46.28728867,,POIN_REP0000002496269046,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D141,FS,,999,U,Calculé,FS,,"03-D141-U-1","03",ROUTNOMM0000000106099017,Allier
3.62620117,46.39554709,,POIN_REP0000002496269047,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D295,FS,,999,U,Calculé,FS,,"03-D295-U-2","03",ROUTNOMM0000000106098921,Allier
3.37752656,46.6292126,,POIN_REP0000002496269048,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D288,FS,,999,U,Calculé,FS,,"03-D288-U-2","03",ROUTNOMM0000000106098812,Allier
2.97438531,46.30246702,,POIN_REP0000002496269049,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D243,FS,,999,U,Calculé,FS,,"03-D243-U-1","03",ROUTNOMM0000000106099025,Allier
3.57886193,46.52429638,,POIN_REP0000002496269050,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D31,FS,,999,U,Calculé,FS,,"03-D31-U-5","03",ROUTNOMM0000000106098879,Allier
3.23463416,46.3279036,,POIN_REP0000002496269051,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D280,FS,,999,U,Calculé,FS,,"03-D280-U-2","03",ROUTNOMM0000000106099046,Allier
2.67624317,46.15686914,,POIN_REP0000002496269052,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D451,FS,,999,U,Calculé,FS,,"03-D451-U-1","03",ROUTNOMM0000000106099153,Allier
3.30255822,46.40731035,,POIN_REP0000002496269053,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D217,FS,,999,U,Calculé,FS,,"03-D217-U-1","03",ROUTNOMM0000000106098945,Allier
3.6326291,45.96134434,,POIN_REP0000002496269054,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D122,FS,,999,U,Calculé,FS,,"03-D122-U-1","03",ROUTNOMM0000000106099255,Allier
2.95826338,46.71925905,,POIN_REP0000002496269055,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D144,FS,,999,U,Calculé,FS,,"03-D144-U-1","03",ROUTNOMM0000000106098790,Allier
2.82134691,46.42060033,,POIN_REP0000002496269056,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D407,FS,,999,U,Calculé,FS,,"03-D407-U-1","03",ROUTNOMM0000000106098927,Allier
3.28738111,46.31205505,,POIN_REP0000002496269057,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D415,FS,,999,U,Calculé,FS,,"03-D415-U-2","03",ROUTNOMM0000000106098985,Allier
3.74742239,46.53318316,,POIN_REP0000002496269058,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D480,FS,,999,U,Calculé,FS,,"03-D480-U-1","03",ROUTNOMM0000000106099061,Allier
3.96809456,46.32047299,,POIN_REP0000002496269059,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D989,FS,,999,U,Calculé,FS,,"03-D989-U-7","03",ROUTNOMM0000000106098963,Allier
3.30977073,46.69688752,,POIN_REP0000002496269060,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D228,FS,,999,U,Calculé,FS,,"03-D228-U-1","03",ROUTNOMM0000000106098778,Allier
2.32150224,46.32916755,,POIN_REP0000002496269061,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D447,FS,,999,U,Calculé,FS,,"03-D447-U-1","03",ROUTNOMM0000000106098980,Allier
2.29219563,46.45953128,,POIN_REP0000002496269062,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D245,FS,,999,U,Calculé,FS,,"03-D245-U-1","03",ROUTNOMM0000000106098928,Allier
3.59314753,46.32859006,,POIN_REP0000002496269063,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D205,FS,,999,U,Calculé,FS,,"03-D205-U-1","03",ROUTNOMM0000000106098973,Allier
3.59262592,46.32903852,,POIN_REP0000002496269064,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D205,FS,,999,U,Calculé,FS,,"03-D205-U-1","03",ROUTNOMM0000000106098973,Allier
3.78466038,46.21846761,,POIN_REP0000002496269065,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,DN7,FS,,999,U,Calculé,FS,,"03-DN7-U-24","03",ROUTNOMM0000000106098857,Allier
3.14926061,46.23586361,,POIN_REP0000002496269066,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D42,FS,,999,U,Calculé,FS,,"03-D42-U-2","03",ROUTNOMM0000000106099165,Allier
3.33289014,46.39958362,,POIN_REP0000002496269067,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D300,FS,,999,U,Calculé,FS,,"03-D300-U-1","03",ROUTNOMM0000000106098919,Allier
3.36355402,46.05323468,,POIN_REP0000002496269068,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D576,FS,,999,U,Calculé,FS,,"03-D576-U-1","03",ROUTNOMM0000000106099235,Allier
3.72344373,46.26140668,,POIN_REP0000002496269069,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D990,FS,,999,U,Calculé,FS,,"03-D990-U-1","03",ROUTNOMM0000000106099082,Allier
3.1971893,46.41844833,,POIN_REP0000002496269070,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D231,FS,,999,U,Calculé,FS,,"03-D231-U-1","03",ROUTNOMM0000000106098931,Allier
2.99854695,46.7612156,,POIN_REP0000002496269071,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D413,FS,,999,U,Calculé,FS,,"03-D413-U-1","03",ROUTNOMM0000000106098768,Allier
3.95060571,46.36203766,,POIN_REP0000002496269072,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D212,FS,,999,U,Calculé,FS,,"03-D212-U-1","03",ROUTNOMM0000000106099011,Allier
3.51026482,46.29573334,,POIN_REP0000002496269073,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D572,FS,,999,U,Calculé,FS,,"03-D572-U-1","03",ROUTNOMM0000000106099012,Allier
3.39057985,46.18514989,,POIN_REP0000002496269074,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D520,FS,,999,U,Calculé,FS,,"03-D520-U-1","03",ROUTNOMM0000000106099127,Allier
3.43048883,46.26350822,,POIN_REP0000002496269075,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D268,FS,,999,U,Calculé,FS,,"03-D268-U-2","03",ROUTNOMM0000000106099044,Allier
3.45078486,46.06290541,,POIN_REP0000002496269076,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D131,FS,,999,U,Calculé,FS,,"03-D131-U-3","03",ROUTNOMM0000000106099222,Allier
2.92389887,46.71279447,,POIN_REP0000002496269077,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D3,FS,,999,U,Calculé,FS,,"03-D3-U-2","03",ROUTNOMM0000000106098908,Allier
3.12252263,46.6556741,,POIN_REP0000002496269078,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D139,FS,,999,U,Calculé,FS,,"03-D139-U-3","03",ROUTNOMM0000000106098818,Allier
3.12270105,46.65592783,,POIN_REP0000002496269079,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D139,FS,,999,U,Calculé,FS,,"03-D139-U-3","03",ROUTNOMM0000000106098818,Allier
2.50337166,46.29032941,,POIN_REP0000002496269080,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D151,FS,,999,U,Calculé,FS,,"03-D151-U-3","03",ROUTNOMM0000000106099132,Allier
2.50337166,46.29032941,,POIN_REP0000002496269081,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D151,FS,,999,U,Calculé,FS,,"03-D151-U-3","03",ROUTNOMM0000000106099132,Allier
2.65542965,46.12614965,,POIN_REP0000002496269082,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D351,FS,,999,U,Calculé,FS,,"03-D351-U-1","03",ROUTNOMM0000000106099177,Allier
2.43525056,46.47107422,,POIN_REP0000002496269083,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D311,FS,,999,U,Calculé,FS,,"03-D311-U-2","03",ROUTNOMM0000000106098903,Allier
2.53489177,46.35649528,,POIN_REP0000002496269084,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D306,FS,,999,U,Calculé,FS,,"03-D306-U-1","03",ROUTNOMM0000000106099028,Allier
2.57774403,46.60785292,,POIN_REP0000002496269085,2025/12/04 10:01:15.995+00,,,2025/10/22,CD03 2025,,D312,FS,,999,U,Calculé,FS,,"03-D312-U-2","03",ROUTNOMM0000000106098849,Allier
